state,occurrence_records,top_species_scientific,top_species_english,top_species_records
Selangor,11055,Corvus splendens,House Crow,6057
Pulau Pinang,8428,Corvus splendens,House Crow,3959
Sabah,4563,Macaca fascicularis,Long-tailed Macaque,1713
Kuala Lumpur,4329,Corvus splendens,House Crow,2164
Johor,3563,Corvus splendens,House Crow,1665
Negeri Sembilan,3470,Acridotheres tristis,Common Myna,1918
Pahang,2881,Acridotheres tristis,Common Myna,2007
Kedah,2485,Acridotheres tristis,Common Myna,1565
Perak,2263,Acridotheres tristis,Common Myna,1684
Sarawak,1743,Acridotheres tristis,Common Myna,975
Melaka,1109,Corvus splendens,House Crow,561
Perlis,402,Acridotheres tristis,Common Myna,375
Putrajaya,361,Corvus splendens,House Crow,201
Terengganu,200,Acridotheres tristis,Common Myna,123
Kelantan,163,Acridotheres tristis,Common Myna,143
Labuan,12,Varanus salvator,Common Water Monitor,7
Unknown,2,Varanus salvator,Common Water Monitor,2
Wellesley,2,Varanus salvator,Common Water Monitor,2
Détroit de Malacca,2,Malayopython reticulatus,Reticulated Python,1
Federal Territory,1,Acridotheres tristis,Common Myna,1
Malaca,1,Macaca fascicularis,Long-tailed Macaque,1
West Malaysia,1,Macaca fascicularis,Long-tailed Macaque,1
Pulau Pinang (State),1,Malayopython reticulatus,Reticulated Python,1
Johore,1,Malayopython reticulatus,Reticulated Python,1
Tasek Bera,1,Naja sumatrana,Naja sumatrana,1
